弹幕姬版本: 0.3.4
直播来源地址: https://cc.163.com/361433/
开始记录时间: 2022-01-12 20:05:54.441
视频地址: https://www.bilibili.com/video/BV1wL41157Nf
CID: [483141706, 483139120, 483136845, 483134952, 483133744]
时轴修正: [[3001, -18], [3011, 10], [3011, 10], [3011, 10], [3192, 10]]

==================================================
2022-01-12 20:07:25.731 - 00:01:31 - 桂林皇子
2022-01-12 20:07:26.239 - 00:01:31 - 2楼是啥
2022-01-12 20:07:31.854 - 00:01:37 - 这游戏还有第二天？
2022-01-12 20:07:33.337 - 00:01:38 - ?
2022-01-12 20:07:33.338 - 00:01:38 - ？
2022-01-12 20:07:35.369 - 00:01:40 - ？
2022-01-12 20:07:36.912 - 00:01:42 - ?
2022-01-12 20:07:37.410 - 00:01:42 - ？
2022-01-12 20:07:38.422 - 00:01:43 - MHR草
2022-01-12 20:07:38.957 - 00:01:44 - ？？
2022-01-12 20:07:39.948 - 00:01:45 - 那必定
2022-01-12 20:07:40.460 - 00:01:46 - ？
2022-01-12 20:07:40.989 - 00:01:46 - 又山是山
2022-01-12 20:07:41.473 - 00:01:47 - 又343？
2022-01-12 20:07:42.535 - 00:01:48 - 跳电梯是吧
2022-01-12 20:07:42.997 - 00:01:48 - 又提343
2022-01-12 20:07:44.013 - 00:01:49 - 又开始了是吗
2022-01-12 20:07:44.017 - 00:01:49 - 说更新很多
2022-01-12 20:07:44.024 - 00:01:49 - 今日343 1、1
2022-01-12 20:07:44.549 - 00:01:50 - 怪猎是吧
2022-01-12 20:07:46.059 - 00:01:51 - 343！
2022-01-12 20:07:46.565 - 00:01:52 - （1/1)
2022-01-12 20:07:46.566 - 00:01:52 - 秦殇
2022-01-12 20:07:47.054 - 00:01:52 - 一转乳343
2022-01-12 20:07:47.055 - 00:01:52 - 三句不离343
2022-01-12 20:07:47.598 - 00:01:53 - 大的好 就要大的
2022-01-12 20:07:48.073 - 00:01:53 - 日常343（1/）
2022-01-12 20:07:48.613 - 00:01:54 - 在夹层加入窑子
2022-01-12 20:07:50.109 - 00:01:55 - 怎么还买了崛起
2022-01-12 20:07:50.110 - 00:01:55 - 这也343
2022-01-12 20:07:50.602 - 00:01:56 - 突然播了？
2022-01-12 20:07:51.195 - 00:01:56 - 居然还有day2
2022-01-12 20:07:51.661 - 00:01:57 - 小秦是不是感冒了
2022-01-12 20:07:52.637 - 00:01:58 - 343
2022-01-12 20:07:53.671 - 00:01:59 - 秦殇
2022-01-12 20:07:54.169 - 00:01:59 - 笑了
2022-01-12 20:07:54.170 - 00:01:59 - 草
2022-01-12 20:07:54.641 - 00:02:00 - 秦殇草
2022-01-12 20:07:56.707 - 00:02:02 - 怪物猎人毛的吧？
2022-01-12 20:08:01.783 - 00:02:07 - 水果达人是吧
2022-01-12 20:08:02.294 - 00:02:07 - 老人心动了
2022-01-12 20:08:07.848 - 00:02:13 - 草
2022-01-12 20:08:08.864 - 00:02:14 - 阿拉伯
2022-01-12 20:08:10.394 - 00:02:15 - 水果达人
2022-01-12 20:08:10.890 - 00:02:16 - 草
2022-01-12 20:08:11.394 - 00:02:16 - 哦
2022-01-12 20:08:11.942 - 00:02:17 - 今天用dnSpy修改了一下文件，百分百赚20000好爽啊
2022-01-12 20:08:12.441 - 00:02:18 - 啊缺上瘾了
2022-01-12 20:08:14.462 - 00:02:20 - 草
2022-01-12 20:08:15.510 - 00:02:21 - 1万收手
2022-01-12 20:08:18.017 - 00:02:23 - ？
2022-01-12 20:08:19.032 - 00:02:24 - 现在轮到你忽悠老人了
2022-01-12 20:08:20.072 - 00:02:25 - 都是缘
2022-01-12 20:08:20.573 - 00:02:26 - 缘分到了 该抽了
2022-01-12 20:08:23.629 - 00:02:29 - 老人开始了
2022-01-12 20:08:25.155 - 00:02:30 - 草
2022-01-12 20:08:26.676 - 00:02:32 - 今年是壬寅年 话不多说了
2022-01-12 20:08:28.184 - 00:02:33 - 玩这么大啊
2022-01-12 20:08:28.698 - 00:02:34 - ？
2022-01-12 20:08:29.184 - 00:02:34 - 好！
2022-01-12 20:08:29.185 - 00:02:34 - 老人玩很大
2022-01-12 20:08:30.206 - 00:02:35 - 都是缘
2022-01-12 20:08:30.207 - 00:02:35 - 教育片
2022-01-12 20:08:30.207 - 00:02:35 - 玩那么大
2022-01-12 20:08:30.208 - 00:02:35 - 曹
2022-01-12 20:08:30.716 - 00:02:36 - 是赌狗网管，好耶
2022-01-12 20:08:31.240 - 00:02:36 - 老人玩挺大
2022-01-12 20:08:31.241 - 00:02:36 - 玩很大
2022-01-12 20:08:31.241 - 00:02:36 - ?
2022-01-12 20:08:32.740 - 00:02:38 - 笑了
2022-01-12 20:08:33.263 - 00:02:38 - 老指导
2022-01-12 20:08:33.773 - 00:02:39 - 好！
2022-01-12 20:08:33.774 - 00:02:39 - 老人玩的好极限
2022-01-12 20:08:34.774 - 00:02:40 - 玩这么大啊
2022-01-12 20:08:35.320 - 00:02:40 - 老人玩很大呢
2022-01-12 20:08:35.814 - 00:02:41 - ？
2022-01-12 20:08:35.815 - 00:02:41 - 玩挺大
2022-01-12 20:08:36.856 - 00:02:42 - ?
2022-01-12 20:08:37.830 - 00:02:43 - 21点
2022-01-12 20:08:39.347 - 00:02:44 - 这老人
2022-01-12 20:08:46.453 - 00:02:52 - 玩这么打
2022-01-12 20:08:48.015 - 00:02:53 - ？
2022-01-12 20:08:49.494 - 00:02:55 - 丐幫幫主
2022-01-12 20:08:50.508 - 00:02:56 - nba
2022-01-12 20:08:50.993 - 00:02:56 - ？
2022-01-12 20:08:52.539 - 00:02:58 - 操
2022-01-12 20:08:53.554 - 00:02:59 - 刚好家里就3根
2022-01-12 20:08:53.556 - 00:02:59 - ？
2022-01-12 20:08:54.560 - 00:03:00 - 哈哈哈哈
2022-01-12 20:08:55.095 - 00:03:00 - ？
2022-01-12 20:08:55.576 - 00:03:01 - 尬。
2022-01-12 20:08:56.071 - 00:03:01 - ？
2022-01-12 20:08:56.576 - 00:03:02 - ？
2022-01-12 20:08:57.095 - 00:03:02 - ???
2022-01-12 20:08:57.613 - 00:03:03 - 巫医
2022-01-12 20:08:57.614 - 00:03:03 - ？
2022-01-12 20:08:58.100 - 00:03:03 - ？
2022-01-12 20:08:58.607 - 00:03:04 - 痛打小黑
2022-01-12 20:08:58.607 - 00:03:04 - ？
2022-01-12 20:08:58.608 - 00:03:04 - hobo?yakuza!
2022-01-12 20:08:59.624 - 00:03:05 - ？
2022-01-12 20:08:59.624 - 00:03:05 - 易大山
2022-01-12 20:08:59.625 - 00:03:05 - 好尬啊
2022-01-12 20:09:00.622 - 00:03:06 - 草
2022-01-12 20:09:00.624 - 00:03:06 - ？？？
2022-01-12 20:09:01.164 - 00:03:06 - ？
2022-01-12 20:09:01.703 - 00:03:07 - ？
2022-01-12 20:09:02.170 - 00:03:07 - ????
2022-01-12 20:09:02.660 - 00:03:08 - 老人玩的好极限
2022-01-12 20:09:04.716 - 00:03:10 - 神经病啊
2022-01-12 20:09:05.222 - 00:03:10 - 买的球棒用上了
2022-01-12 20:09:05.704 - 00:03:11 - ?
2022-01-12 20:09:05.707 - 00:03:11 - 这游戏感觉能整个联机模式，收钱的打扫卫生的做饭的都安排一个人
2022-01-12 20:09:06.222 - 00:03:11 - 忙着运输
2022-01-12 20:09:07.771 - 00:03:13 - 贾许忙着喝鸡汤呢
2022-01-12 20:09:09.770 - 00:03:15 - 别整尬的
2022-01-12 20:09:09.771 - 00:03:15 - ？
2022-01-12 20:09:09.772 - 00:03:15 - 都放假了
2022-01-12 20:09:10.282 - 00:03:15 - ?
2022-01-12 20:09:10.283 - 00:03:15 - 贾诩天天狂热运输
