弹幕姬版本: 0.3.6
直播来源地址: https://cc.163.com/361433/
开始记录时间: 2022-01-25 19:59:32.379
视频地址: https://www.bilibili.com/video/BV18S4y1L74m
CID: [492832291, 493028267, 493010494, 492992404, 492983619]
时轴修正: [[3601, 70], [3611, 10], [3611, 10], [3611, 10], [2956, 10]]

==================================================
2022-01-25 20:02:03.782 - 00:02:31 - 这作可以玩的，跟普通宝可梦不一样
2022-01-25 20:02:06.808 - 00:02:34 - 可以说，阿尔宙斯是GF进步最大的一作了
2022-01-25 20:02:08.814 - 00:02:36 - 阿尔宙斯又不能联机，一起玩也不存在，虽然看着难度貌似还行
2022-01-25 20:02:12.350 - 00:02:39 - ？
2022-01-25 20:02:13.862 - 00:02:41 - ？
2022-01-25 20:02:13.863 - 00:02:41 - 叔叔饶命
2022-01-25 20:02:15.905 - 00:02:43 - ？
2022-01-25 20:02:16.434 - 00:02:44 - ？
2022-01-25 20:02:17.943 - 00:02:45 - 别异了
2022-01-25 20:02:18.451 - 00:02:46 - ？
2022-01-25 20:02:18.452 - 00:02:46 - 别异，折磨
2022-01-25 20:02:19.946 - 00:02:47 - 小翼？
2022-01-25 20:02:19.946 - 00:02:47 - ？
2022-01-25 20:02:20.451 - 00:02:48 - 草
2022-01-25 20:02:21.458 - 00:02:49 - 阿尔宙斯已经预载好了，超期待的
2022-01-25 20:02:21.459 - 00:02:49 - 易
2022-01-25 20:02:21.965 - 00:02:49 - 别
2022-01-25 20:02:22.471 - 00:02:50 - 别异，我怕
2022-01-25 20:02:22.473 - 00:02:50 - ？
2022-01-25 20:02:23.520 - 00:02:51 - ？
2022-01-25 20:02:23.521 - 00:02:51 - 又异又异
2022-01-25 20:02:25.485 - 00:02:53 - 玩玩暖雪呗
2022-01-25 20:02:25.486 - 00:02:53 - 本田异！
2022-01-25 20:02:26.503 - 00:02:54 - 《这么多》
2022-01-25 20:02:26.504 - 00:02:54 - 草
2022-01-25 20:02:26.987 - 00:02:54 - ？
2022-01-25 20:02:28.523 - 00:02:56 - 谁是小yi
2022-01-25 20:02:28.524 - 00:02:56 - 那你呢
2022-01-25 20:02:29.030 - 00:02:56 - 都是土人
2022-01-25 20:02:30.024 - 00:02:57 - 别黑楼
2022-01-25 20:02:30.521 - 00:02:58 - 震撼
2022-01-25 20:02:34.101 - 00:03:01 - 沙奈朵 我的沙奈朵
2022-01-25 20:02:34.102 - 00:03:01 - 牢异结合
2022-01-25 20:02:36.095 - 00:03:03 - 有复联的节点吗？
2022-01-25 20:02:39.640 - 00:03:07 - 怎么老惦记着土游
2022-01-25 20:02:40.169 - 00:03:07 - 感冒啦奎恩哥
2022-01-25 20:02:40.635 - 00:03:08 - 小塞尔达是吧
2022-01-25 20:02:43.673 - 00:03:11 - 救世了
2022-01-25 20:02:48.238 - 00:03:15 - 玩幽闭深渊呀
2022-01-25 20:02:49.739 - 00:03:17 - 可以直接攻击训练师啦
2022-01-25 20:02:51.815 - 00:03:19 - 可以看出确实有塞尔达痕迹
2022-01-25 20:02:54.286 - 00:03:21 - 肉身单挑阿尔宙斯
2022-01-25 20:03:03.349 - 00:03:30 - 眼前一黑
2022-01-25 20:03:03.349 - 00:03:30 - 并肩战斗的拿伽马
2022-01-25 20:03:03.905 - 00:03:31 - 欧拉欧拉欧拉欧拉
2022-01-25 20:03:04.879 - 00:03:32 - 不断殴打超梦的脑阔子
2022-01-25 20:03:05.368 - 00:03:32 - 为什么不给一把大剑呢
2022-01-25 20:03:05.885 - 00:03:33 - 类似于健身环吗
2022-01-25 20:03:09.917 - 00:03:37 - 和怪力欧拉欧拉欧拉
2022-01-25 20:03:11.933 - 00:03:39 - 《真新人-起源》
2022-01-25 20:03:11.934 - 00:03:39 - 阿尔宙斯感觉玩着会有点新意，虽然画面还是拉的一塌糊涂
2022-01-25 20:03:13.941 - 00:03:41 - 单挑沙奈朵
2022-01-25 20:03:14.964 - 00:03:42 - 珍宝
2022-01-25 20:03:23.087 - 00:03:50 - 扔个大铁球上去
2022-01-25 20:03:28.101 - 00:03:55 - 甚麼時候訓練師可以上去跟寶可夢肉搏
2022-01-25 20:03:29.138 - 00:03:56 - 对训练师直接攻击！
2022-01-25 20:03:29.634 - 00:03:57 - 应该抓住对面，连我一起打
2022-01-25 20:03:31.675 - 00:03:59 - 我逆呢
2022-01-25 20:03:41.821 - 00:04:09 - 来力
2022-01-25 20:03:47.367 - 00:04:14 - 来叻
2022-01-25 20:03:47.368 - 00:04:14 - 偷跑哥的评价竟然比黑白高，该购入了
2022-01-25 20:03:48.397 - 00:04:16 - 又救世了
2022-01-25 20:03:48.913 - 00:04:16 - 还真有训练师和宝可梦肉搏的
2022-01-25 20:03:53.430 - 00:04:21 - 叔叔是叔叔
2022-01-25 20:03:58.494 - 00:04:26 - 逆=迷
2022-01-25 20:04:00.501 - 00:04:28 - 这次训练师会被aoe技能给打死
2022-01-25 20:04:02.008 - 00:04:29 - 异呢，奎恩哥
2022-01-25 20:04:04.558 - 00:04:32 - 偷跑都是在哪买的，淦
2022-01-25 20:04:05.545 - 00:04:33 - 可以跟沙奈朵肉搏嗎
2022-01-25 20:04:09.103 - 00:04:36 - 逆=迷=杨森=22
2022-01-25 20:04:13.186 - 00:04:40 - 阿尔宙斯也是逆
2022-01-25 20:04:14.712 - 00:04:42 - 真正玩宝可梦的会整天纠结画面吗？
2022-01-25 20:04:17.717 - 00:04:45 - 救世啊
2022-01-25 20:04:20.246 - 00:04:47 - 9494
2022-01-25 20:04:21.252 - 00:04:48 - 阿尔宙斯也是逆
2022-01-25 20:04:26.286 - 00:04:53 - 死灵很好用  无限拉小怪一堆肉盾
2022-01-25 20:04:26.288 - 00:04:53 - 游戏性呢
2022-01-25 20:04:26.780 - 00:04:54 - 而且阿尔宙斯里的人能硬吃宝可梦技能
2022-01-25 20:04:29.806 - 00:04:57 - 图鉴任务还蛮刷的
