弹幕姬版本: 0.4.0
直播来源地址: https://cc.163.com/361433/
开始记录时间: 2022-04-16 19:33:27.868
视频地址: https://www.bilibili.com/video/BV1VY4y1v7Sd
CID: [578171785, 578264112, 578251112, 578236910, 578223448]
时轴修正: [[3001, -17], [3011, 10], [3011, 10], [3011, 10], [2961, 10]]

==================================================
2022-04-16 19:34:54.476 - 00:01:26 - 真不熟
2022-04-16 19:34:58.000 - 00:01:30 - 这下切割了
2022-04-16 19:35:01.553 - 00:01:33 - 玩手游的…
2022-04-16 19:35:01.555 - 00:01:33 - 二次元手游是吧
2022-04-16 19:35:01.556 - 00:01:33 - 玩手游的什么下场不用我多嗦了吧
2022-04-16 19:35:01.560 - 00:01:33 - 玩手游的手拉手退群
2022-04-16 19:35:01.561 - 00:01:33 - wei?
2022-04-16 19:35:01.565 - 00:01:33 - 手游是吧
2022-04-16 19:35:01.566 - 00:01:33 - 玩手游的_____把
2022-04-16 19:35:02.624 - 00:01:34 - 铃兰？谁是铃兰的顶点？
2022-04-16 19:35:03.062 - 00:01:35 - 樱量
2022-04-16 19:35:03.062 - 00:01:35 - 二次元教父是吧
2022-04-16 19:35:03.064 - 00:01:35 - 小秦真可爱
2022-04-16 19:35:03.568 - 00:01:35 - 这也是丁叔叔的游戏吗
2022-04-16 19:35:05.093 - 00:01:37 - 怕打不过后面关卡是吧
2022-04-16 19:35:06.125 - 00:01:38 - 我还以为是O神呢
2022-04-16 19:35:06.632 - 00:01:38 - 有抽卡吗
2022-04-16 19:35:07.175 - 00:01:39 - 支持正义切割
2022-04-16 19:35:07.627 - 00:01:39 - 和处难不是一个频道的
2022-04-16 19:35:10.175 - 00:01:42 - mumu模拟器的话可以用CE
2022-04-16 19:35:12.684 - 00:01:44 - 感觉不如
2022-04-16 19:35:13.720 - 00:01:45 - 鈴蘭のてっぺんを取る！
2022-04-16 19:35:18.269 - 00:01:50 - 草
2022-04-16 19:35:19.778 - 00:01:51 - 感觉不如
2022-04-16 19:35:20.287 - 00:01:52 - 我爱二次元我爱二次元
2022-04-16 19:35:20.290 - 00:01:52 - 玩手游的手拉手退群吧.jpg
2022-04-16 19:35:22.359 - 00:01:54 - 账号0
2022-04-16 19:35:22.360 - 00:01:54 - 狗来
2022-04-16 19:35:22.860 - 00:01:54 - 好一笔宣传开销
2022-04-16 19:35:23.338 - 00:01:55 - 这游戏谁开发的啊 总觉得像狮子战争什么的
2022-04-16 19:35:23.841 - 00:01:55 - 可以的 要登陆网易账号
2022-04-16 19:35:30.478 - 00:02:02 - 铃兰是我们的光！
2022-04-16 19:35:31.971 - 00:02:04 - 不如原神。
2022-04-16 19:35:36.004 - 00:02:08 - Q先什么时候玩O神
2022-04-16 19:35:36.534 - 00:02:08 - 这个模拟器要登陆账号才会保存
2022-04-16 19:35:38.031 - 00:02:10 - 感覺不如
2022-04-16 19:35:39.033 - 00:02:11 - 感觉不如。。。
2022-04-16 19:35:39.034 - 00:02:11 - 这饭多少钱啊？
2022-04-16 19:35:39.645 - 00:02:11 - 这是丁叔叔的任务吗？
2022-04-16 19:35:43.097 - 00:02:15 - 感觉不如。。。
2022-04-16 19:35:47.176 - 00:02:19 - 经典舞娘
2022-04-16 19:35:48.163 - 00:02:20 - 音乐还挺不错
2022-04-16 19:35:49.689 - 00:02:21 - ？
2022-04-16 19:35:51.710 - 00:02:23 - 感觉不如
2022-04-16 19:35:52.735 - 00:02:24 - ？？？
2022-04-16 19:35:52.736 - 00:02:24 - 哦
2022-04-16 19:35:54.238 - 00:02:26 - 真不熟
2022-04-16 19:35:54.239 - 00:02:26 - 哦
2022-04-16 19:35:54.239 - 00:02:26 - 精华
2022-04-16 19:35:59.307 - 00:02:31 - 哦
2022-04-16 19:35:59.810 - 00:02:31 - 如果是网易的游戏建议不要玩
2022-04-16 19:36:00.302 - 00:02:32 - 还是你懂
2022-04-16 19:36:00.824 - 00:02:32 - 韦天没有精华
2022-04-16 19:36:01.834 - 00:02:33 - 感受他的美
2022-04-16 19:36:05.396 - 00:02:37 - 手拉手
2022-04-16 19:36:05.908 - 00:02:38 - 有抽卡吗
2022-04-16 19:36:08.418 - 00:02:40 - 狠狠地氪了
2022-04-16 19:36:09.957 - 00:02:42 - ？
2022-04-16 19:36:10.970 - 00:02:43 - 指氪金
2022-04-16 19:36:12.519 - 00:02:44 - 《过人的手段》
2022-04-16 19:36:12.977 - 00:02:45 - 蓝绿修改器啊。
2022-04-16 19:36:12.979 - 00:02:45 - 大人的手段
2022-04-16 19:36:13.499 - 00:02:45 - 有兔皮吗
2022-04-16 19:36:13.505 - 00:02:45 - 手段
2022-04-16 19:36:15.027 - 00:02:47 - 来了来了
2022-04-16 19:36:15.028 - 00:02:47 - 《手段》
2022-04-16 19:36:15.029 - 00:02:47 - 氪金抽卡
2022-04-16 19:36:16.033 - 00:02:48 - 蓝绿作弊器
2022-04-16 19:36:16.547 - 00:02:48 - 指氪金
2022-04-16 19:36:16.548 - 00:02:48 - 有抽卡捏
2022-04-16 19:36:16.549 - 00:02:48 - 这是纯正的家乡二次元吗，还是冲国二次元
2022-04-16 19:36:17.561 - 00:02:49 - 感觉立绘配不上像素，有点怪
2022-04-16 19:36:18.091 - 00:02:50 - 过人的手段
2022-04-16 19:36:18.565 - 00:02:50 - 钱包
2022-04-16 19:36:18.567 - 00:02:50 - ?
2022-04-16 19:36:19.089 - 00:02:51 - SE啊
2022-04-16 19:36:19.616 - 00:02:51 - 之前就有关注这游戏，这游戏像素画风我很喜欢
2022-04-16 19:36:20.086 - 00:02:52 - 别说了 开抽罢
2022-04-16 19:36:20.093 - 00:02:52 - 精华是抽卡吗？
2022-04-16 19:36:20.630 - 00:02:52 - 过人的氪金
2022-04-16 19:36:20.631 - 00:02:52 - 4k分辨率手机也就大法吧
2022-04-16 19:36:21.093 - 00:02:53 - ？？？
2022-04-16 19:36:21.094 - 00:02:53 - ？
2022-04-16 19:36:21.095 - 00:02:53 - 大人的手段
2022-04-16 19:36:22.632 - 00:02:54 - ？
2022-04-16 19:36:23.650 - 00:02:55 - 奎恩哥什么时候给大伙颠勺啊
2022-04-16 19:36:24.199 - 00:02:56 - ？
2022-04-16 19:36:24.663 - 00:02:56 - ？？？
2022-04-16 19:36:24.668 - 00:02:56 - 怎么你和韦天都玩这个
2022-04-16 19:36:24.670 - 00:02:56 - ？
2022-04-16 19:36:25.166 - 00:02:57 - 像素风，不错
2022-04-16 19:36:25.167 - 00:02:57 - 你是大冤种啊
2022-04-16 19:36:25.168 - 00:02:57 - 我个人觉得序章其实不是特别好，剧情太突兀
2022-04-16 19:36:27.204 - 00:02:59 - 有抽卡吗，好急啊，好想抽啊
2022-04-16 19:36:27.205 - 00:02:59 - ？
2022-04-16 19:36:27.703 - 00:02:59 - 北方不死院啊
2022-04-16 19:36:28.234 - 00:03:00 - 我是韦天
2022-04-16 19:36:28.739 - 00:03:00 - 过人的手段，指毛陈叔叔的50
2022-04-16 19:36:30.753 - 00:03:02 - 钞能力！
2022-04-16 19:36:31.750 - 00:03:03 - 弥漫着一股土额气息
2022-04-16 19:36:33.292 - 00:03:05 - ？
2022-04-16 19:36:34.819 - 00:03:06 - 秦叔叔
2022-04-16 19:36:35.292 - 00:03:07 - 这游戏抽卡没用。每章都会从头开始
2022-04-16 19:36:42.387 - 00:03:14 - 这游戏有没有亚修
2022-04-16 19:36:42.388 - 00:03:14 - 有白叔叔，那有黑叔叔吗
2022-04-16 19:36:44.436 - 00:03:16 - 这像素挺不错 立绘好GBF
2022-04-16 19:36:45.454 - 00:03:17 - 山寨三角战术咯
2022-04-16 19:36:46.954 - 00:03:19 - 感觉不如怎么还没出现
2022-04-16 19:36:47.968 - 00:03:20 - 你最好有过人的手段
2022-04-16 19:36:51.037 - 00:03:23 - 我的火把就是证据！
2022-04-16 19:36:53.600 - 00:03:25 - 皇家骑士团是吧
2022-04-16 19:36:54.071 - 00:03:26 - 带球过人是吧
2022-04-16 19:36:54.561 - 00:03:26 - 确实
2022-04-16 19:36:55.080 - 00:03:27 - 感觉不如。。。三角战略
2022-04-16 19:36:57.100 - 00:03:29 - 老滚剧情
2022-04-16 19:36:59.160 - 00:03:31 - ？
2022-04-16 19:36:59.678 - 00:03:31 - 典典典
2022-04-16 19:36:59.679 - 00:03:31 - 战败cg呢
2022-04-16 19:37:01.694 - 00:03:33 - 老滚、黑魂
2022-04-16 19:37:03.240 - 00:03:35 - 这立绘其实和像素画风有点不搭，说实在的
2022-04-16 19:37:04.208 - 00:03:36 - 大老爹带球过人
2022-04-16 19:37:06.229 - 00:03:38 - 典死家
2022-04-16 19:37:06.789 - 00:03:38 - 画风不错
2022-04-16 19:37:08.285 - 00:03:40 - 我三角战略呢
2022-04-16 19:37:08.786 - 00:03:40 - 所以有色吗
2022-04-16 19:37:09.271 - 00:03:41 - 典中典
2022-04-16 19:37:11.818 - 00:03:43 - 草
2022-04-16 19:37:12.861 - 00:03:44 - 对哦 说到这个 风之旅人是不是没通
2022-04-16 19:37:12.862 - 00:03:44 - ？
2022-04-16 19:37:13.351 - 00:03:45 - ？？？
2022-04-16 19:37:13.853 - 00:03:45 - ？
2022-04-16 19:37:14.862 - 00:03:46 - 我超 二次元
2022-04-16 19:37:15.410 - 00:03:47 - 摸我的
2022-04-16 19:37:15.411 - 00:03:47 - ？
2022-04-16 19:37:15.887 - 00:03:48 - 草
2022-04-16 19:37:15.888 - 00:03:48 - ？
2022-04-16 19:37:16.388 - 00:03:48 - 不准摸
2022-04-16 19:37:16.389 - 00:03:48 - you finally wake up
2022-04-16 19:37:16.932 - 00:03:49 - ？
2022-04-16 19:37:16.933 - 00:03:49 - 摸摸我的
2022-04-16 19:37:16.934 - 00:03:49 - 几个鼠标啊
2022-04-16 19:37:16.935 - 00:03:49 - 典
2022-04-16 19:37:17.428 - 00:03:49 - 开始了开始了
2022-04-16 19:37:17.913 - 00:03:50 - ？
2022-04-16 19:37:18.410 - 00:03:50 - ？
2022-04-16 19:37:18.962 - 00:03:51 - ？
2022-04-16 19:37:19.462 - 00:03:51 - 草
2022-04-16 19:37:19.464 - 00:03:51 - 摸我摸我
2022-04-16 19:37:19.465 - 00:03:51 - 笑了
2022-04-16 19:37:21.498 - 00:03:53 - ？
2022-04-16 19:37:22.460 - 00:03:54 - ？
2022-04-16 19:37:22.962 - 00:03:55 - 摸我
2022-04-16 19:37:24.012 - 00:03:56 - 摸摸我的
2022-04-16 19:37:25.006 - 00:03:57 - 八方旅人确实没通
2022-04-16 19:37:26.029 - 00:03:58 - 笑了
2022-04-16 19:37:26.031 - 00:03:58 - 作为测试服玩家，其实目前角色强度和稀有度关系不是特别大
2022-04-16 19:37:26.535 - 00:03:58 - 集了
2022-04-16 19:37:28.048 - 00:04:00 - 摸摸你的
2022-04-16 19:37:30.083 - 00:04:02 - 手拉手
2022-04-16 19:37:31.106 - 00:04:03 - 摸到哪去了
2022-04-16 19:37:32.092 - 00:04:04 - ？
2022-04-16 19:37:33.640 - 00:04:05 - 北方不死院啊
2022-04-16 19:37:35.184 - 00:04:07 - 摸到吃人妹的鼠标了
2022-04-16 19:37:37.671 - 00:04:09 - 想涩守卫是吧
2022-04-16 19:37:41.237 - 00:04:13 - 手拉手
2022-04-16 19:37:41.238 - 00:04:13 - 女手慰
2022-04-16 19:37:42.738 - 00:04:14 - 也让我摸摸
2022-04-16 19:37:43.758 - 00:04:15 - 北方不死院啊
2022-04-16 19:37:44.289 - 00:04:16 - ？
2022-04-16 19:37:44.762 - 00:04:16 - 玩手游的手牵手退群吧
2022-04-16 19:37:44.763 - 00:04:16 - 草
2022-04-16 19:37:44.764 - 00:04:16 - 鹿人
2022-04-16 19:37:45.275 - 00:04:17 - 北方不死院
2022-04-16 19:37:45.838 - 00:04:17 - 播多久啊
2022-04-16 19:37:46.807 - 00:04:18 - 奎恩哥评价一下耳鸣星做菜呢
2022-04-16 19:37:48.854 - 00:04:20 - 唐突跳舞
2022-04-16 19:37:51.381 - 00:04:23 - 我的完美一天呢
2022-04-16 19:37:51.875 - 00:04:24 - 也让我摸摸
2022-04-16 19:37:53.392 - 00:04:25 - 工商到几点啊
2022-04-16 19:37:54.405 - 00:04:26 - ？
2022-04-16 19:37:55.437 - 00:04:27 - 笑了
2022-04-16 19:37:57.468 - 00:04:29 - 主角不色，这游戏第一步就错了
2022-04-16 19:37:58.483 - 00:04:30 - 笑了
2022-04-16 19:37:59.477 - 00:04:31 - 主角为什么只是看着
2022-04-16 19:38:02.542 - 00:04:34 - 大
2022-04-16 19:38:07.090 - 00:04:39 - 感觉不如合金弹头。。
2022-04-16 19:38:07.625 - 00:04:39 - 大
2022-04-16 19:38:07.627 - 00:04:39 - 原来二次元指的这个
2022-04-16 19:38:08.117 - 00:04:40 - 女人不错
2022-04-16 19:38:08.638 - 00:04:40 - 很大呢
2022-04-16 19:38:09.184 - 00:04:41 - 死的很混沌
2022-04-16 19:38:10.185 - 00:04:42 - 大
2022-04-16 19:38:10.186 - 00:04:42 - 买断制的么
2022-04-16 19:38:10.689 - 00:04:42 - 大莱
2022-04-16 19:38:10.691 - 00:04:42 - 抱歉，不够大
2022-04-16 19:38:11.680 - 00:04:43 - 色来了
2022-04-16 19:38:11.681 - 00:04:43 - 什么时候有陈万毅
2022-04-16 19:38:13.217 - 00:04:45 - 今天是要恰一晚上的饭吗？
2022-04-16 19:38:14.220 - 00:04:46 - 大
2022-04-16 19:38:17.253 - 00:04:49 - ？
2022-04-16 19:38:17.768 - 00:04:49 - 大
2022-04-16 19:38:17.769 - 00:04:49 - ？
2022-04-16 19:38:18.790 - 00:04:50 - 像素也能涩
2022-04-16 19:38:18.791 - 00:04:50 - 大
2022-04-16 19:38:18.803 - 00:04:50 - 变大了
2022-04-16 19:38:18.805 - 00:04:50 - 很大呢
2022-04-16 19:38:19.279 - 00:04:51 - 抱歉，不够大
2022-04-16 19:38:19.780 - 00:04:51 - 再不斩大刀啊
2022-04-16 19:38:19.782 - 00:04:51 - ？
2022-04-16 19:38:20.284 - 00:04:52 - 大
2022-04-16 19:38:20.827 - 00:04:52 - 工商之夜？
2022-04-16 19:38:21.822 - 00:04:53 - 大
2022-04-16 19:38:21.823 - 00:04:53 - 哟按说大不大，确实大
2022-04-16 19:38:22.342 - 00:04:54 - 色狗
2022-04-16 19:38:22.846 - 00:04:54 - 大
2022-04-16 19:38:23.343 - 00:04:55 - 变大了
2022-04-16 19:38:23.349 - 00:04:55 - ？
2022-04-16 19:38:24.334 - 00:04:56 - 很大呢
2022-04-16 19:38:24.336 - 00:04:56 - 大
2022-04-16 19:38:24.855 - 00:04:56 - 大
2022-04-16 19:38:25.365 - 00:04:57 - 有可能会遇到黑屏bug，以及一些特效bug，也不知道修了没
2022-04-16 19:38:26.370 - 00:04:58 - 沟都看到了
2022-04-16 19:38:26.371 - 00:04:58 - 女人不错
2022-04-16 19:38:26.372 - 00:04:58 - 大的姐头
2022-04-16 19:38:26.921 - 00:04:59 - 大
2022-04-16 19:38:28.437 - 00:05:00 - 像素也要看？
