弹幕姬版本: 0.4.1
直播来源地址: https://cc.163.com/361433/
开始记录时间: 2022-10-21 20:06:39.964
视频地址: https://www.bilibili.com/video/BV1rg41187r1
CID: [868689834, 868671034, 868702187, 868702314, 868702421]
时轴修正: [[3001, -81], [3011, 10], [3011, 10], [3011, 10], [2932, 10]]

==================================================
2022-10-21 20:08:15.339 - 00:01:35 - ?
2022-10-21 20:08:15.895 - 00:01:35 - 西西这么怂？
2022-10-21 20:08:15.895 - 00:01:35 - ？
2022-10-21 20:08:16.357 - 00:01:36 - 保护
2022-10-21 20:08:16.854 - 00:01:36 - ？
2022-10-21 20:08:16.855 - 00:01:36 - 吉利服了属于是
2022-10-21 20:08:17.903 - 00:01:37 - 生化危机不玩吗?
2022-10-21 20:08:18.391 - 00:01:38 - 该套全境封锁皮了
2022-10-21 20:08:18.391 - 00:01:38 - 韦庄
2022-10-21 20:08:18.924 - 00:01:38 - 超管不懂事 封着玩的
2022-10-21 20:08:18.925 - 00:01:38 - ？？？
2022-10-21 20:08:18.925 - 00:01:38 - 草
2022-10-21 20:08:19.417 - 00:01:39 - ？
2022-10-21 20:08:19.928 - 00:01:39 - ？
2022-10-21 20:08:19.929 - 00:01:39 - ?
2022-10-21 20:08:20.442 - 00:01:40 - ？
2022-10-21 20:08:20.443 - 00:01:40 - 韦装
2022-10-21 20:08:20.941 - 00:01:40 - ？
2022-10-21 20:08:21.948 - 00:01:41 - ?
2022-10-21 20:08:21.948 - 00:01:41 - 保护
2022-10-21 20:08:22.970 - 00:01:43 - 草
2022-10-21 20:08:23.460 - 00:01:43 - ?
2022-10-21 20:08:23.974 - 00:01:44 - 笑了
2022-10-21 20:08:24.458 - 00:01:44 - 保护 保护
2022-10-21 20:08:25.009 - 00:01:45 - ？
2022-10-21 20:08:25.010 - 00:01:45 - 草
2022-10-21 20:08:25.505 - 00:01:45 - ？？
2022-10-21 20:08:25.506 - 00:01:45 - 该把火柴人打枪的伪装掏出来了
2022-10-21 20:08:26.002 - 00:01:46 - 草
2022-10-21 20:08:26.530 - 00:01:46 - 真笑了
2022-10-21 20:08:27.013 - 00:01:47 - 草
2022-10-21 20:08:27.014 - 00:01:47 - b是b，c是c
2022-10-21 20:08:27.508 - 00:01:47 - 一眼假
2022-10-21 20:08:27.509 - 00:01:47 - ？
2022-10-21 20:08:28.515 - 00:01:48 - 草
2022-10-21 20:08:29.527 - 00:01:49 - 还有韦装？
2022-10-21 20:08:30.055 - 00:01:50 - 草
2022-10-21 20:08:30.055 - 00:01:50 - 草，这是什么韦装
2022-10-21 20:08:31.047 - 00:01:51 - 什么吊东西
