弹幕姬版本: 0.3.1
直播来源地址: https://cc.163.com/361433/
开始记录时间: 2021-11-25 20:27:52.628
视频地址: https://www.bilibili.com/video/BV1VY411s7K4
CID: [449128470, 449126018, 449124756, 449122827, 449121009]
时轴修正: [[3601, 866], [3611, 10], [3611, 10], [3611, 10], [3860, 10]]

==================================================
2021-11-25 20:30:25.779 - 00:02:33 - 看戏的人，是你
2021-11-25 20:30:28.049 - 00:02:35 - 有没有开回车位装死人的说法？
2021-11-25 20:30:29.881 - 00:02:37 - 什么拉德卢梭
2021-11-25 20:30:30.764 - 00:02:38 - 嗦到泥头车啊，还看三三老师
2021-11-25 20:30:37.427 - 00:02:44 - 黄帝上司
2021-11-25 20:30:38.160 - 00:02:45 - ？
2021-11-25 20:30:38.668 - 00:02:46 - 这叫博弈！
2021-11-25 20:30:38.769 - 00:02:46 - 致远星奔驰
2021-11-25 20:30:41.290 - 00:02:48 - ？
2021-11-25 20:30:41.839 - 00:02:49 - 感觉不如都去中间
2021-11-25 20:30:43.446 - 00:02:50 - 一转杀害兄弟
2021-11-25 20:30:53.549 - 00:03:00 - 拱？撅！
2021-11-25 20:30:56.632 - 00:03:04 - 加油vac
2021-11-25 20:30:58.811 - 00:03:06 - 教父为什么在OB啊
2021-11-25 20:31:02.500 - 00:03:09 - 博弈
2021-11-25 20:31:13.562 - 00:03:20 - 教父不是活不下来，只是想解说
2021-11-25 20:31:18.106 - 00:03:25 - 教父放水罢了
2021-11-25 20:31:19.120 - 00:03:26 - 四股！
2021-11-25 20:31:21.641 - 00:03:29 - 二人转了
2021-11-25 20:31:22.102 - 00:03:29 - 韦天
2021-11-25 20:31:22.838 - 00:03:30 - 四股
2021-11-25 20:31:22.841 - 00:03:30 - ？
2021-11-25 20:31:22.897 - 00:03:30 - 纯度
2021-11-25 20:31:23.191 - 00:03:30 - 是够重
2021-11-25 20:31:25.327 - 00:03:32 - ？
2021-11-25 20:31:25.725 - 00:03:33 - 是四股！
2021-11-25 20:31:25.805 - 00:03:33 - 是正三角
2021-11-25 20:31:25.893 - 00:03:33 - 黑楼教父遇到泥头车 一秒就躺了
2021-11-25 20:31:26.459 - 00:03:33 - 答案是四股
2021-11-25 20:31:26.582 - 00:03:33 - 拉克希尔仪式
2021-11-25 20:31:28.727 - 00:03:36 - 草
2021-11-25 20:31:29.069 - 00:03:36 - 懂不懂啊
2021-11-25 20:31:29.272 - 00:03:36 - 这图路还是太宽了
2021-11-25 20:31:30.500 - 00:03:37 - 懂了·····小狗为了当裁判放水
2021-11-25 20:31:31.517 - 00:03:38 - 是四股！
2021-11-25 20:31:32.098 - 00:03:39 - 先手必输
2021-11-25 20:31:33.664 - 00:03:41 - 消力哪里都能用
